sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15
82.14,98.1,95.62,100.43,85.9,2.22,2.76,2.79,0.99,1.69,90.04,32.26,167.71,81.35,1.28
86.16,67.6,80.64,74.17,74.53,6.31,6.96,8.34,11.3,15.76,44.94,193.5,151.41,52.12,173.16
63.02,57.87,65.74,73.15,75.92,19.42,7.62,12.22,9.31,17.47,139.13,94.69,66.89,68.04,36.18
38.59,47.1,35.45,40.61,47.95,30.83,32.88,37.7,34.18,20.69,61.07,108.3,118.81,55.16,180.62
2.84,2.64,2.15,2.4,2.53,48.23,40.07,42.15,33.05,24.96,135.17,150.26,109.28,13.52,149.5
46.84,40.91,37.52,48.36,51.29,20.07,16.64,13.89,36.83,18.08,193.92,8.33,19.74,72.46,136.11
88.56,103.38,76.73,94.25,93.65,3.74,4.54,8.66,9.22,9.35,6.13,82.16,97.51,61.92,8.36
24.94,19.13,23.29,27.31,27.31,43.39,56.85,42.56,50.37,51.14,198.23,170.2,20.51,37.92,159.67
24.56,22.33,23.07,16.96,23.23,20.06,32.58,45.9,56.91,47.05,193.07,63.37,91.55,68.44,124.72
64.91,72.53,84.5,72.16,72.36,17.66,9.47,10.37,14.14,12.42,27.16,180.38,90.33,186.11,165.25
21.14,29.2,23.79,29.78,22.33,29.43,24.78,45.22,31.77,37.47,176.6,30.63,144.67,185.02,144.96
7.93,6.23,7.12,8.13,6.99,34.2,45.43,48.3,46.19,41.83,143.23,161.12,103.23,19.64,117.72
39.02,39.33,37.69,48.54,47.78,27.4,38.64,25.13,30.98,36.6,24.85,132.79,30.21,112.96,36.92
32.66,34.72,35.67,47.74,43.69,33.04,31.92,42.06,39.73,18.33,81.17,152.8,46.29,55.96,9.54
63.05,73.82,71.85,68.73,56.62,9.34,10.74,14.52,19.82,16.22,93.65,61.01,102.41,135.54,114.22
8.65,6.11,6.08,7.81,7.81,41.17,25.18,51.42,68.36,65.82,134.27,108.1,32.8,88.66,127.83
11.84,13.48,12.41,13.1,10.57,36.68,37.81,26.09,22.51,58.23,52.18,143.69,9.15,3.48,111.08
48.45,42.82,58.02,41.06,45.12,17.04,33.65,36.76,20.26,16.26,90.08,107.92,11.98,18.24,157.22
52.64,52.41,56.16,53.36,60.99,34.91,22.85,21.42,24.55,20.53,44.41,145.67,157.06,122.06,137.63
69.05,69.97,52.61,75.56,56.23,13.42,12.19,22.64,20.01,14.98,108.8,180.45,147.48,72.51,152.85
20.45,23.47,22.11,28.53,21.67,53.69,27.71,33.91,24.51,34.81,125.01,128.28,126.75,29.43,122.74
13.45,13.48,12.69,11.03,12.65,45.41,26.63,56.74,22.68,42.98,61.17,183.33,89.27,38.91,8.17
71.17,71.49,78.74,62.31,72.69,8.43,8.15,16.3,8.37,16.52,169.09,28.32,162.47,72.07,176.92
47.17,37.6,52.73,54.45,42.24,20.71,28.73,36.55,33.46,25.26,157.91,6.71,76.36,101.44,76.73
40.15,31.16,35.86,36.19,35.99,30.95,19.76,38.1,33.27,43.91,56.9,87.45,95.72,30.75,22.95
44.56,42.45,50.57,44.3,42.6,31.12,41.09,20.43,28.2,38.3,132.74,52.05,160.25,172.38,41.03
80.92,110.92,76.44,94.23,76.99,3.89,4.12,2.71,3.65,4.36,152.38,77.51,163.08,194.21,142.27
53.71,43.29,42.91,57.51,43.11,31.76,25.21,16.99,26.87,26.39,62.48,177.1,114.27,178.0,120.92
28.89,24.76,27.11,21.37,20.88,49.38,44.5,42.75,52.69,38.58,3.91,165.76,42.64,190.88,73.33
94.84,99.34,68.87,92.96,98.8,7.75,7.46,5.49,6.12,9.63,103.49,39.45,187.99,102.19,40.12
31.7,25.02,34.78,28.18,28.8,43.04,29.86,45.1,30.19,42.13,33.0,144.32,133.21,31.62,77.21
17.72,21.39,21.71,22.03,17.49,38.04,46.18,36.96,21.22,27.97,172.27,198.72,0.66,149.98,57.28
12.96,16.64,16.76,13.04,17.87,57.1,36.15,52.83,40.17,47.04,160.78,65.37,141.4,139.21,129.45
94.86,82.87,101.94,104.14,83.74,3.53,7.64,3.56,4.25,4.67,22.48,158.93,107.18,65.35,100.74
41.12,40.01,39.43,47.48,44.14,30.85,22.48,37.55,16.55,37.51,10.63,178.26,132.3,4.89,36.52
61.88,65.87,66.05,61.63,73.64,9.72,14.59,11.78,15.27,14.22,5.64,104.27,54.95,75.57,24.24
96.06,78.72,99.43,82.08,94.74,3.44,2.44,2.18,3.84,2.12,140.59,181.72,170.61,186.1,6.64
107.58,80.56,93.03,102.5,87.36,1.82,2.0,2.73,1.52,3.13,159.35,168.02,7.98,33.35,47.17
22.16,22.4,23.92,22.52,22.23,58.87,52.97,52.9,52.35,29.42,157.71,71.18,159.81,65.37,102.03
51.82,60.19,51.11,59.19,47.83,18.21,15.05,16.24,19.82,29.5,118.72,25.85,130.48,29.28,168.13
14.14,14.21,13.85,17.78,16.05,63.11,60.04,51.59,45.88,49.72,100.68,67.39,114.53,83.19,62.36
15.95,15.01,14.62,15.14,14.01,32.96,34.64,26.96,28.39,42.57,88.67,79.22,150.67,47.02,43.34
85.4,85.66,79.87,89.46,75.46,4.73,9.27,8.6,9.67,6.6,123.11,152.52,43.11,168.61,123.21
57.44,44.41,56.53,45.94,44.85,13.8,13.55,17.42,24.56,31.22,144.43,131.3,24.12,33.59,32.19
33.65,33.67,37.78,27.07,30.15,38.89,23.96,40.5,24.54,25.73,132.83,79.69,193.46,170.85,31.31
25.8,22.27,28.09,27.91,24.62,37.18,29.59,53.86,41.63,29.34,80.18,116.75,33.77,38.34,24.05
53.86,52.89,51.23,61.19,45.89,26.46,16.09,30.6,17.43,29.91,77.14,105.04,79.4,171.99,21.7
56.11,57.14,71.56,56.4,70.58,14.17,8.98,21.26,23.66,20.25,173.37,58.81,159.46,198.26,62.11
92.8,85.54,80.53,84.5,82.55,13.47,5.74,14.76,15.38,10.88,198.44,97.34,16.87,154.04,26.68
17.58,16.3,15.42,12.72,15.16,45.77,39.19,35.7,31.39,46.28,108.29,50.45,148.72,118.07,63.93
37.48,29.88,33.0,28.54,30.48,33.85,44.63,29.36,25.99,37.49,179.67,20.18,47.98,5.93,87.78
14.63,13.11,11.62,12.72,15.52,49.02,34.19,54.23,54.97,38.11,111.23,131.91,156.93,100.38,49.66
46.19,50.87,53.2,46.48,47.9,16.64,24.63,14.14,29.96,14.55,180.73,107.53,47.25,98.12,12.77
76.35,76.55,57.61,71.98,58.73,16.52,19.85,18.31,13.91,9.76,109.92,50.34,154.08,10.0,85.06
90.04,103.4,92.59,87.0,112.9,2.53,3.2,1.41,2.89,2.0,101.15,198.42,87.87,187.63,186.72
95.53,68.61,81.96,92.48,69.06,8.29,5.06,9.67,8.03,9.18,157.28,44.18,50.76,173.27,7.19
27.8,18.97,27.7,20.25,20.26,43.48,21.85,49.11,54.32,35.31,164.8,153.58,3.31,24.57,189.52
11.68,13.33,11.6,12.25,13.65,36.19,34.6,62.49,22.76,30.85,92.79,175.45,18.28,13.93,148.96
88.81,86.96,69.67,74.71,67.63,12.03,10.35,9.89,6.98,10.69,178.6,24.87,86.41,143.89,56.23
39.98,31.54,41.78,41.92,39.86,35.87,29.57,38.52,43.46,40.34,67.96,65.11,33.87,158.79,84.2
34.66,34.83,37.34,37.61,38.8,35.96,17.91,20.98,38.55,41.14,145.1,14.7,197.67,22.76,180.47
76.9,86.76,96.03,86.62,90.12,6.7,4.06,3.33,3.12,3.25,46.91,176.52,130.09,132.51,170.47
71.31,71.49,62.85,81.85,75.8,14.51,16.28,15.35,10.38,7.61,30.17,124.79,35.03,168.77,78.93
88.92,95.42,99.96,103.61,76.5,4.02,6.33,3.6,6.5,7.5,12.99,21.13,72.47,187.28,196.26
10.13,9.21,12.16,12.2,10.43,65.33,48.03,57.58,44.72,36.26,14.88,123.31,82.44,179.83,158.54
47.56,51.51,53.85,55.13,59.32,11.76,30.98,18.56,12.2,19.14,107.39,170.98,68.81,72.64,186.16
68.41,74.25,83.3,72.77,83.77,10.35,10.15,7.56,9.28,9.51,153.61,83.37,129.47,124.91,45.12
102.1,85.81,82.18,96.07,106.65,2.37,1.9,2.16,1.55,1.45,2.67,99.52,59.05,24.12,176.05
77.53,70.46,62.5,80.66,68.12,17.77,23.0,20.6,20.64,17.82,53.45,82.59,194.35,18.67,42.11
75.14,73.28,70.72,77.41,57.66,13.47,16.96,24.87,8.51,13.23,59.39,117.26,90.42,140.71,93.84
60.07,68.3,57.1,66.45,65.56,27.36,26.98,9.26,18.74,20.88,199.68,43.8,144.36,155.84,90.28
2.2,3.04,2.76,2.96,2.23,29.41,62.12,26.25,38.4,64.23,75.44,41.26,107.86,28.97,55.22
6.22,8.93,6.32,8.08,7.06,61.15,39.3,60.78,32.36,46.17,135.03,186.8,120.39,199.94,32.85
73.64,61.0,61.75,69.0,58.73,17.9,22.27,19.43,8.11,9.01,59.31,89.1,170.72,4.33,79.83
27.35,35.32,34.2,38.57,28.82,41.91,22.45,39.02,40.05,17.31,17.16,185.27,191.06,118.94,63.18
74.63,76.42,68.33,84.14,62.1,10.21,15.73,11.03,6.82,18.39,136.07,24.0,161.58,42.28,10.25
24.53,19.7,17.47,17.65,24.17,41.77,34.77,48.72,50.87,31.09,116.14,150.37,83.69,185.5,124.24
100.38,97.3,113.32,90.77,79.75,1.08,1.14,1.32,1.73,1.22,101.37,68.02,194.43,165.71,182.75
102.03,91.85,95.31,91.13,99.42,1.24,0.98,1.24,1.57,1.36,9.69,71.61,194.23,30.09,131.37
32.53,44.61,45.07,37.57,35.44,16.01,26.89,41.52,44.95,18.42,105.58,135.98,186.15,70.0,75.74
11.54,14.71,15.39,11.7,14.1,26.85,47.25,63.22,58.73,28.0,31.26,74.04,110.9,92.49,88.51
76.05,72.2,78.53,95.54,87.64,8.56,12.32,13.16,9.79,7.99,187.47,27.92,38.96,62.2,175.87
88.79,80.28,95.69,99.87,98.27,2.78,2.04,2.0,2.26,2.36,28.48,91.59,82.81,102.51,16.05
47.68,38.84,35.44,37.91,41.48,27.9,30.02,29.23,27.2,25.55,78.09,166.67,2.92,48.88,150.31
32.91,35.22,41.45,34.63,38.15,40.87,35.52,30.9,21.62,26.08,162.57,109.84,89.55,74.95,69.11
72.4,65.43,56.19,67.34,54.43,22.15,26.31,12.95,22.3,12.35,138.35,162.04,22.99,188.65,87.31
64.69,47.34,48.53,60.89,57.4,29.07,24.45,19.78,24.93,15.08,82.16,181.5,120.82,166.14,186.41
77.6,66.81,77.16,74.32,77.28,12.28,11.32,21.11,13.95,12.7,74.15,16.35,68.15,139.79,78.29
15.21,17.05,16.44,20.18,15.4,24.6,58.42,33.8,53.0,33.81,52.28,139.94,13.21,56.75,86.15
42.37,39.73,42.19,44.31,39.84,42.1,18.17,42.89,40.49,37.83,132.04,107.85,75.55,78.84,8.53
44.11,38.47,49.44,40.96,42.89,20.7,31.28,17.2,24.12,38.31,62.63,178.8,172.1,70.71,102.24
116.65,116.78,104.22,105.0,81.94,0.89,0.66,0.73,0.42,0.91,91.45,56.62,143.73,55.49,1.62
92.11,102.19,81.11,76.73,111.27,3.23,3.25,1.43,3.41,2.4,174.49,34.19,166.63,6.42,183.74
42.0,44.84,51.92,42.82,50.2,38.87,35.54,35.48,36.39,35.67,18.71,129.07,180.97,108.64,188.07
38.24,44.25,40.02,41.75,35.18,36.88,36.59,24.45,25.97,31.05,74.77,36.29,152.58,185.36,193.07
101.27,93.71,96.69,95.87,78.3,3.06,3.62,4.26,3.9,5.48,114.85,140.9,140.05,175.26,142.23
68.5,84.9,75.53,77.78,61.42,16.94,13.08,12.76,7.18,17.96,12.21,52.55,199.08,127.96,104.38
42.29,38.14,41.47,47.31,43.52,41.13,40.27,33.88,39.56,23.62,191.28,23.84,168.82,167.34,48.47
67.0,64.01,59.85,67.81,66.98,9.54,8.49,9.93,18.79,7.29,117.68,187.46,42.49,29.72,103.25
0.7,0.72,0.96,0.7,0.88,66.12,60.19,57.52,59.33,33.08,50.88,166.73,151.4,132.1,119.9
18.76,21.38,23.6,25.21,19.73,35.53,50.95,20.84,23.54,19.36,73.72,59.14,100.16,6.03,47.45
70.9,73.43,66.31,75.76,61.69,8.89,12.64,12.62,13.68,17.55,0.8,98.05,69.84,163.22,39.51
14.42,13.97,11.81,11.88,13.09,64.26,57.16,24.62,26.74,38.69,111.65,25.92,41.26,98.84,24.46
39.41,39.9,45.39,43.04,44.89,39.92,23.07,29.83,15.14,33.82,184.7,21.26,30.54,189.22,74.42
93.91,89.22,83.42,87.47,98.63,6.8,3.92,7.57,5.48,4.94,84.11,143.51,74.26,118.74,0.81
0.95,1.01,0.95,0.82,1.09,34.45,60.95,60.62,29.25,27.37,111.72,111.55,186.06,103.0,80.17
66.23,68.61,81.45,87.45,83.3,6.04,15.72,8.54,6.21,8.47,129.63,154.03,140.17,139.74,56.0
45.72,44.01,54.8,57.96,63.05,12.73,17.13,24.55,23.41,23.21,190.39,33.23,168.89,18.1,73.79
73.23,83.35,84.66,69.85,79.31,15.42,11.84,15.73,14.56,20.71,77.81,67.67,167.95,50.64,33.01
6.08,8.56,7.36,5.84,6.45,62.52,37.96,38.49,68.87,67.79,155.88,68.88,112.54,119.85,155.84
44.4,55.51,45.0,53.95,49.38,13.7,30.17,25.73,16.46,14.63,143.3,143.94,37.03,33.09,105.58
42.74,44.57,45.88,45.45,48.81,16.53,31.33,20.38,41.53,41.69,164.94,29.86,19.03,98.03,57.11
80.99,92.37,90.44,79.56,88.45,6.63,5.24,7.45,8.28,7.7,142.16,193.17,162.36,162.12,123.42
75.91,56.71,70.48,70.86,60.47,13.97,26.09,17.3,26.11,21.13,163.03,43.6,107.5,142.86,77.81
0.13,0.17,0.15,0.15,0.14,46.6,37.82,70.9,67.19,52.09,40.72,160.15,16.89,137.93,124.63
89.61,107.76,115.5,84.44,89.05,0.4,0.54,0.47,0.47,0.54,191.08,9.86,109.15,116.9,187.79
52.9,59.65,45.83,44.06,50.14,36.32,23.3,19.68,25.59,19.95,90.24,196.65,6.33,156.74,46.31
96.64,82.17,73.9,87.16,100.64,8.81,7.34,9.27,4.98,4.47,176.09,143.11,50.76,135.72,53.88
27.07,28.24,27.62,25.71,24.43,51.86,37.88,30.49,26.17,35.6,6.02,99.33,29.97,27.18,91.63
41.36,52.28,39.44,47.87,51.01,23.76,17.55,34.85,20.98,37.72,70.48,167.43,173.26,73.77,13.05
32.56,40.84,35.07,30.58,36.93,25.48,37.28,22.57,24.25,36.18,160.31,176.06,103.07,183.82,52.43
2.03,1.94,2.21,2.49,2.11,51.61,25.41,51.44,29.31,53.24,52.85,24.92,74.27,92.96,90.25
90.04,61.83,78.05,85.49,71.83,8.0,11.03,15.95,14.73,7.22,130.71,47.39,32.71,139.04,44.68
62.97,76.26,71.22,74.05,65.5,6.7,11.83,12.74,7.89,9.84,148.23,165.24,4.95,142.6,66.37
38.12,47.27,44.03,42.79,44.46,24.14,17.24,22.52,30.71,21.86,34.26,117.99,97.52,60.39,67.79
55.22,42.8,55.46,52.93,50.1,15.2,22.69,15.28,32.01,14.23,34.39,112.14,169.42,4.22,25.23
15.12,10.36,13.17,14.61,11.32,30.23,50.11,60.35,25.43,60.54,129.95,168.91,37.05,74.57,153.98
48.56,45.57,50.5,53.7,51.25,32.89,14.94,31.8,20.3,28.45,36.34,89.65,49.42,50.44,14.99
52.29,66.86,60.91,62.45,48.99,29.69,10.82,16.2,22.67,17.67,165.13,139.39,185.08,72.19,95.16
42.32,57.12,47.97,60.63,55.22,15.5,27.5,26.14,27.97,29.23,4.85,70.67,177.85,127.13,69.67
15.23,14.34,18.07,18.97,18.54,24.24,59.14,56.1,36.28,25.35,51.8,133.23,32.9,54.63,115.0
67.68,62.78,70.46,67.57,73.39,16.46,13.41,17.26,9.38,19.82,147.71,136.58,19.04,110.26,57.93
87.61,83.53,90.22,106.94,96.34,6.1,3.88,5.94,6.45,4.09,199.51,184.31,138.09,133.09,121.55
103.88,80.94,93.96,112.8,113.15,0.42,0.22,0.4,0.34,0.22,160.85,83.22,6.64,79.09,25.77
92.24,70.85,66.33,78.06,80.27,14.01,6.03,11.69,5.93,8.77,107.23,61.47,131.74,96.63,0.8
95.28,105.48,87.62,80.86,103.37,5.4,2.75,3.78,2.87,2.3,4.53,8.32,4.19,188.49,4.12
36.08,28.08,26.08,28.9,35.57,32.79,22.8,38.29,35.48,44.24,147.09,198.12,142.54,113.8,123.22
91.53,74.31,92.38,84.96,91.56,5.66,3.11,6.77,6.3,2.68,10.9,4.86,108.97,110.44,103.24
10.92,10.02,10.78,10.77,10.01,26.28,34.14,66.9,30.91,66.9,5.2,58.03,87.89,175.22,150.64
36.2,40.35,36.5,30.25,43.19,16.33,32.89,25.35,45.49,42.4,59.29,118.87,195.29,19.63,141.86
18.04,20.54,21.12,17.51,19.12,36.54,44.78,28.38,30.53,25.39,15.84,175.46,59.41,131.61,75.29
26.75,33.69,29.36,31.66,32.66,50.29,52.82,35.94,35.23,42.75,7.41,29.32,127.72,46.6,120.77
32.63,25.11,32.14,34.33,30.51,34.44,27.33,17.76,32.76,44.01,105.83,22.71,28.4,86.74,32.89
74.27,84.98,61.98,72.27,85.98,6.77,10.32,19.06,12.74,10.75,130.23,179.64,16.23,128.08,166.82
86.09,75.38,71.78,84.43,92.11,7.8,4.0,4.29,10.64,10.76,185.94,89.04,70.95,119.66,151.25
92.42,98.33,84.91,97.67,84.41,4.29,4.24,6.42,5.85,3.33,123.58,68.3,101.76,42.78,66.93
71.63,72.64,68.66,53.9,60.05,13.66,26.4,11.53,26.71,17.54,179.15,117.21,78.01,17.3,10.34
9.1,8.29,11.44,8.8,9.56,57.57,30.17,29.93,46.97,54.52,86.67,32.63,60.98,15.94,0.77
78.15,89.61,90.59,82.09,64.64,17.79,8.35,9.49,6.54,8.44,196.34,20.27,185.12,145.68,40.12
84.12,63.04,65.08,90.6,76.78,12.9,6.91,7.42,9.05,7.33,48.31,173.97,114.42,32.42,14.95
9.18,10.65,12.17,8.68,9.49,30.33,25.19,58.22,43.02,40.41,6.7,58.94,175.26,46.79,167.53
110.76,83.9,108.24,101.3,113.45,1.62,1.54,1.94,0.9,1.23,96.91,130.81,67.62,177.08,4.34
102.24,108.12,90.22,95.55,91.6,0.75,0.6,1.28,1.0,1.59,162.3,132.72,24.0,174.56,136.35
43.79,40.99,43.8,46.84,39.21,35.74,35.24,44.15,30.78,34.08,159.11,84.77,164.98,51.64,22.16
71.92,68.16,58.83,68.88,59.52,20.19,13.11,26.79,24.65,28.11,146.81,113.75,103.55,180.54,118.65
65.68,72.49,76.27,68.76,79.94,15.23,9.06,15.46,10.26,13.68,169.46,68.04,14.04,120.03,70.31
95.63,95.61,75.69,90.65,69.59,7.83,5.24,4.23,6.11,7.57,3.23,128.01,2.32,187.35,111.1
63.4,53.53,62.49,49.25,67.74,23.46,16.65,10.96,12.51,21.55,195.79,89.61,102.48,41.26,129.71
42.27,43.93,45.49,46.32,33.83,24.38,29.64,21.46,22.94,16.98,116.35,153.15,27.58,23.98,184.28
75.94,91.35,101.05,87.78,89.64,2.38,5.1,3.19,2.0,2.42,64.99,191.34,104.74,110.87,144.91
42.28,46.76,43.04,34.98,39.42,15.6,29.88,41.33,15.94,16.38,14.99,161.45,176.37,185.36,142.29
36.7,32.27,29.26,31.75,36.96,44.47,37.24,43.47,29.64,38.93,65.38,110.49,5.02,180.56,196.12
15.51,17.3,14.74,14.87,17.33,45.34,61.86,39.4,31.06,34.78,70.83,104.17,137.38,21.53,91.18
93.84,92.87,84.06,94.92,83.45,12.78,5.96,12.58,5.76,10.04,92.29,134.8,144.22,171.85,198.85
88.86,83.45,111.14,84.73,95.05,0.79,1.83,0.85,1.19,0.99,60.31,152.78,12.57,19.09,192.65
62.88,68.17,53.95,49.66,54.75,13.12,30.36,15.36,27.85,28.79,135.56,73.95,24.32,137.41,52.18
49.16,38.18,44.25,51.61,48.01,24.82,31.46,17.27,14.52,39.25,14.44,52.35,99.87,139.3,34.13
68.88,88.47,85.57,69.37,63.42,16.86,9.58,7.42,9.55,7.94,71.88,43.79,85.2,184.07,30.33
30.94,33.1,27.71,35.0,33.58,36.49,43.64,37.33,50.1,48.49,6.85,11.93,131.26,43.44,177.35
30.48,28.59,33.49,28.63,33.19,37.43,41.52,51.36,34.92,48.68,79.92,87.55,117.8,102.53,26.17
18.11,19.43,18.09,16.85,17.42,21.22,41.89,53.14,55.21,45.74,44.82,177.44,179.73,101.11,76.31
40.25,51.48,39.85,51.13,46.5,28.0,38.14,21.78,27.84,32.21,112.11,81.48,47.64,157.78,162.93
71.19,99.25,87.21,92.19,70.37,5.68,4.53,7.79,3.24,7.56,14.02,107.41,119.89,15.32,58.19
28.32,31.46,30.87,25.27,32.87,43.1,29.36,36.06,43.16,30.09,159.42,54.1,162.61,127.09,48.48
83.49,93.69,74.64,82.69,81.91,9.88,4.63,7.22,6.95,4.1,115.63,39.74,166.86,150.49,15.51
20.24,20.32,20.02,22.42,15.69,27.59,41.66,54.19,48.98,30.15,133.55,191.95,184.81,41.71,160.54
62.94,54.94,58.81,64.66,49.1,12.33,12.38,25.91,30.05,17.94,188.03,82.33,181.49,7.86,42.67
51.52,44.45,49.44,50.16,46.34,12.7,21.81,31.98,35.11,35.71,89.54,187.34,47.2,95.66,166.36
100.95,94.05,108.77,88.98,108.01,5.62,3.65,5.05,3.07,2.22,182.17,79.01,89.67,125.25,49.34
86.39,85.23,86.78,80.26,71.95,6.37,3.92,5.76,6.68,3.68,119.48,136.11,162.38,138.31,141.88
62.87,58.49,79.87,58.86,56.25,10.91,13.16,12.12,20.83,8.95,81.72,164.92,99.24,76.46,133.64
75.69,72.56,80.03,63.05,74.75,10.57,14.11,18.1,10.38,17.02,98.63,87.85,120.2,55.99,36.42
45.45,53.54,62.98,56.11,56.47,20.46,15.17,29.68,26.63,11.42,120.92,139.1,29.78,138.96,53.8
74.14,63.39,68.25,81.01,71.89,7.4,12.63,6.2,12.13,13.28,1.96,179.26,181.61,38.61,140.28
85.61,109.98,83.61,82.66,104.53,1.7,1.48,2.7,2.33,2.36,147.45,76.34,152.36,132.41,125.3
5.85,7.21,7.32,6.48,6.37,57.0,26.4,45.87,37.96,37.78,181.87,87.1,170.95,39.91,114.64
41.91,42.07,43.62,38.66,42.41,19.26,32.23,27.77,25.26,38.4,108.03,105.16,128.43,40.29,99.68
59.55,45.01,60.72,61.92,60.15,31.87,19.36,14.04,22.42,31.45,10.42,126.91,21.25,26.62,109.31
78.19,61.73,85.93,74.9,72.17,10.14,12.04,9.3,15.37,9.98,93.02,19.68,151.79,80.81,7.15
66.87,51.47,58.59,55.65,60.8,11.76,16.53,14.63,20.38,14.93,106.1,141.71,101.14,80.67,111.11
31.69,24.41,28.11,30.94,30.78,20.18,18.14,45.13,47.37,34.59,175.36,155.07,162.77,166.5,136.79
71.91,57.57,64.95,67.98,67.85,14.42,12.5,11.32,26.27,10.12,166.81,0.42,151.7,154.71,56.62
52.6,40.6,54.97,44.76,40.88,26.72,33.23,14.33,21.65,40.41,91.14,135.87,106.88,119.37,79.24
95.96,78.16,104.04,107.99,104.75,2.22,2.38,2.24,2.35,1.22,35.87,6.13,15.1,15.17,7.25
18.16,24.74,23.18,24.07,19.4,41.34,28.62,29.45,34.08,32.82,155.55,91.63,111.65,35.32,88.86
30.43,38.39,45.03,32.92,44.72,28.04,17.98,17.47,44.42,45.07,18.45,33.26,59.81,133.73,15.41
25.65,37.02,28.25,27.27,29.77,42.01,39.09,30.06,38.67,41.22,186.33,142.34,45.09,190.17,23.35
28.02,26.72,22.71,28.04,28.04,30.74,47.27,40.49,50.37,40.14,174.69,24.32,85.42,79.17,39.76
62.45,54.71,71.07,80.87,69.07,13.48,10.45,8.67,19.87,10.26,85.52,146.01,43.14,90.49,91.02
