id_transacao,itens
105,"Pao Frances,Manteiga,Suco"
106,"Cafe,Leite,Queijo,Presunto"
107,"Pao Frances,Manteiga,Cafe,Leite"
108,"Pao Frances,Manteiga,Leite"
109,"Pao Frances,Manteiga,Suco,Presunto"
110,"Pao Frances,Manteiga,Cafe,Leite,Bolo"
111,"Pao Frances,Manteiga,Cafe,Leite,Queijo"
112,"Pao Frances,Manteiga,Queijo,Presunto"
113,"Pao Frances,Manteiga"
114,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto"
115,"Pao Frances,Manteiga,Cafe,Leite"
116,"Pao Frances,Manteiga,Queijo,Presunto"
117,"Cafe,Leite"
118,"Pao Frances,Manteiga,Cafe,Leite"
119,"Pao Frances,Manteiga"
120,"Queijo,Presunto,Pao Frances"
121,"Pao Frances,Manteiga,Cafe,Leite"
122,"Pao Frances,Manteiga,Presunto,Leite"
123,"Pao Frances,Manteiga,Leite"
124,"Pao Frances,Manteiga,Cafe,Leite"
125,"Pao Frances,Manteiga,Cafe,Leite"
126,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto"
127,"Cafe,Leite,Queijo,Presunto"
128,"Pao Frances,Manteiga,Presunto"
129,"Pao Frances,Manteiga"
130,"Pao Frances,Manteiga,Presunto"
131,"Pao Frances,Manteiga,Cafe,Leite"
132,"Pao Frances,Manteiga,Leite,Queijo"
133,"Queijo,Presunto"
134,"Pao Frances,Manteiga,Cafe,Leite,Bolo"
135,Pao Frances
136,"Pao Frances,Manteiga,Leite"
137,"Pao Frances,Manteiga,Queijo,Presunto"
138,Cafe
139,Leite
140,"Pao Frances,Manteiga,Cafe,Leite"
141,Presunto
142,"Queijo,Presunto,Bolo,Cafe"
143,"Cafe,Leite,Suco"
144,"Cafe,Leite"
145,"Pao Frances,Manteiga,Cafe,Leite,Queijo"
146,"Pao Frances,Manteiga"
147,"Pao Frances,Manteiga,Queijo,Presunto"
148,"Pao Frances,Manteiga,Cafe,Leite"
149,"Leite,Bolo"
150,"Cafe,Leite"
