request_id,ip_origem,url_uri,metodo_http,user_agent,headers_extras,query_params,body,cookies,tamanho_requisicao,taxa_requisicoes_1m,tls_fingerprint,geolocalizacao,reputacao_ip,historico_sessao,label,tipo_ataque
72c7678d,154.189.17.187,/home,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=1352c731-cd94-4c62-b1ce-0de1f8896d0f; theme=dark,460,6,7f1bac375cf900d694b97577561f72f4,BR,0.79,established,normal,none
1155b139,19.72.160.195,/home,GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=99&ref=promo,,session_id=7929845e-9930-48f1-b30f-cc82e361586a; theme=dark,569,2,139006d1c3d8f5d1bfb17d87b62452f5,US,0.93,established,normal,none
27199619,46.54.59.152,/produtos,GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=66&ref=promo,,session_id=b0eeea0e-6691-4b2a-94ba-3cc030727b14; theme=dark,673,9,8f611102d2fdb6c61cc0455add62d3d1,IN,0.97,established,normal,none
74702358,154.148.165.37,/download?file=..%2F..%2Fwindows%2Fwin.ini,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=e0525a89-048f-483d-af38-e32819a5721c;,238,12,330400b8ee20bae60a480091b6c48c78,GB,0.11,previously_flagged,suspeita,path_traversal
3f19b557,100.44.254.46,/contato,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""carterdylan"", ""pass"": ""******""}",session_id=7370c1d1-162d-485c-af55-3e6343d6b482; theme=dark,328,6,b6c468378b6bb42fb687e29f67928d19,GB,0.89,established,normal,none
c328c9ee,124.73.139.0,/download?file=..%2F..%2Fwindows%2Fwin.ini,POST,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=9ea61253-3dbf-428c-8b88-44324e26eed2;,253,27,17b755fddaaddff25475d810364df429,BR,0.02,new,suspeita,path_traversal
92a5e1f0,29.246.176.239,/login,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,user=' OR 1=1 --,,session_id=aedb7665-e205-4b26-9b2d-df50a56d75ed;,802,10,27f6c7c1b8aa46c1c66ef3756b986601,RU,0.58,new,suspeita,sqli
ebcfeb04,32.18.84.49,/login,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""steven17"", ""pass"": ""******""}",session_id=3dc8717e-5443-4ef3-baca-50c4fb148244; theme=dark,464,14,9a5ade168eb3f5946b0fd6e6f1a5b6d1,CN,0.73,established,normal,none
32996804,16.89.255.188,/search,POST,sqlmap/1.5.8#dev (http://sqlmap.org),Content-Type: text/html; Accept-Language: pt-BR,,,session_id=7eabe32e-31c6-4b0b-9b41-bc342ff84bc3;,380,65,ea7413195d1bde787af3f2c4e9be240e,FR,0.34,previously_flagged,suspeita,bot
6250d5d7,84.237.30.45,/produtos,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""carpentershari"", ""pass"": ""******""}",session_id=e23037b6-d69f-49d0-b341-3df358033151; theme=dark,146,10,cfd033a5c291ea1aca3b7a4b975b3b1a,IN,0.76,established,normal,none
4de1e1c3,105.155.117.35,/api/users,POST,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""' OR 1=1 --""}",session_id=1de10ba1-783f-44fa-b8e7-c017eb6361c6;,185,26,d21d4bba5883bdcc4828ff540d6393e3,BR,0.09,new,suspeita,sqli
dec8c546,34.183.247.159,/login,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=f6e5f84e-aa54-4c6a-bb3a-2ec9ef39de29; theme=dark,693,14,888b7d137f9299cf2f9a689ffb42fb88,IN,0.93,established,normal,none
4008cd9d,207.240.142.29,/login,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""crystalshepard"", ""pass"": ""******""}",session_id=83aa8c33-8e4c-4248-bee2-c056cfa9c9fc; theme=dark,133,11,dd255de291e38c2ded4899002bc9a1fd,US,0.84,new,normal,none
df15c165,175.141.198.180,/produtos,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""ytorres"", ""pass"": ""******""}",session_id=46e3515b-dbce-4c6e-8229-24ee2e7ba043; theme=dark,758,11,441586c1e17bc72302027ba4f509fb7f,CN,0.92,new,normal,none
12b2875a,68.16.44.239,/home,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""bookerdavid"", ""pass"": ""******""}",session_id=2370ed15-81d6-48af-ad46-d93e8e98de38; theme=dark,141,13,df68beb69227e13291f37bd308009589,RU,0.81,established,normal,none
86baf45f,140.109.143.118,/contato,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=2443119d-b915-4549-8274-81254d643e0b; theme=dark,279,9,04a92a5c90841eeeca8c9df227327e19,IN,0.81,new,normal,none
f60d1b75,141.182.36.243,/login,DELETE,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=e6f2d3c0-b262-4e35-9003-b31770e0fcdc;,759,1128,a9f210f24de52350317b13a70cfa202c,US,0.17,new,suspeita,dos
71c1c386,53.20.52.223,/api/pedidos,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""jenniferbyrd"", ""pass"": ""******""}",session_id=c3da1729-5a01-4db3-a42e-961ab652a5d5; theme=dark,622,5,66aea421ecde2cf19fee48fe59c18288,CN,0.89,new,normal,none
7606abb4,31.50.209.202,/contato,GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=12&ref=promo,,session_id=b9435239-be5b-49f3-b40a-9e8937ec1e56; theme=dark,371,8,55b163c1448e4aa18b422e21b9413f34,DE,0.94,new,normal,none
ecb122eb,24.118.247.115,/login,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""michellehunter"", ""pass"": ""******""}",session_id=0a1cf030-8bab-4232-b22c-af0c5a7eea21; theme=dark,420,15,951b6394c1cf881ea0075cada0b58043,CN,0.92,established,normal,none
782fdf3f,38.80.35.152,/api/pedidos,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=18&ref=promo,,session_id=9bc704e7-00b2-4416-9a50-b436bc19b72e; theme=dark,432,9,dfe2510cbe87a633b5df0e65f9b05c3c,RU,0.79,established,normal,none
6c4ba5f0,193.195.204.80,/produtos,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=f50bd37c-ee77-45fa-973f-7ca901df0cb3; theme=dark,445,15,e2210d70787a61d3824f9b78937787b4,IN,0.79,new,normal,none
77fa01fe,200.41.3.177,/api/users,DELETE,sqlmap/1.5.8#dev (http://sqlmap.org),Content-Type: text/html; Accept-Language: pt-BR,,,session_id=a627bd98-221f-4308-9304-adaa14944977;,242,32,8792bb99b6a83e90a495be9f48796778,US,0.31,previously_flagged,suspeita,bot
eb2145a4,184.26.43.50,/api/users,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,user=admin' #,,session_id=e11f93a0-5487-4043-a08b-1a9b44b0279b;,434,2,ab89984df7e8ef310ee56be01bcd9e48,RU,0.21,previously_flagged,suspeita,sqli
37a008f2,170.52.221.139,/api/pedidos,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""williamsjohn"", ""pass"": ""******""}",session_id=dae60916-86ec-44d1-a88b-55548afad217; theme=dark,123,14,e3a350dc6767869f6877b5e9529c2601,CN,0.87,established,normal,none
43101c10,53.121.123.190,/download?file=/var/www/html/../../../etc/shadow,DELETE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=7b81bd00-c4cc-4df7-b7db-129696f98556;,545,13,136bfb0bf11590ca84d2aaa3b727efe2,GB,0.26,new,suspeita,path_traversal
3c145850,40.114.37.8,/home,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""moorekimberly"", ""pass"": ""******""}",session_id=01ebdee6-192f-4fcc-9857-c4999e5cfd45; theme=dark,653,15,4bba89393fe8c16f1022d0939988fca1,RU,0.79,new,normal,none
ec55573c,103.63.10.192,/download?file=../../../etc/passwd,DELETE,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=8e31fea0-45cc-4047-812b-577c212e81cb;,146,2,b524f01aaff021f1d87bac6b7dda1ddb,BR,0.55,new,suspeita,path_traversal
30b89e9a,19.73.31.126,/api/pedidos,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=3d5486e9-bdd6-4d57-ac85-a341a442f0d4; theme=dark,356,5,01afb652e2989e7975bfa43a4826c613,RU,0.95,established,normal,none
7f201088,95.224.77.169,/login,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=7697b3fb-b1bd-4bbd-b7a2-2091cb6d4158; theme=dark,467,12,f36abc6a6b5279baf97d779409aecf45,US,0.96,established,normal,none
d965a2eb,190.100.19.244,/api/pedidos,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,id=26&ref=promo,,session_id=25b935f5-13e9-4150-ac61-435daea42519; theme=dark,778,3,c1e7680127cf8e2b20f955a045270e6e,IN,0.87,established,normal,none
273ea16f,64.245.188.150,/admin,DELETE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=8bdfb274-04ae-4e04-ae10-944b9d737915;,260,267,ffd324d1449dd5276f92ee6c8a967fd5,FR,0.1,previously_flagged,suspeita,dos
bfc27bb4,60.210.68.23,/login,GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=86&ref=promo,,session_id=bac9d9ed-3462-41c3-8bdf-028a2435c3cd; theme=dark,563,4,eb197bd1a2e4462ef565941d71797bde,GB,0.88,new,normal,none
2a740527,192.151.170.210,/home,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""ynguyen"", ""pass"": ""******""}",session_id=76dfe1d2-1007-4848-a1c3-a09e3be9e55e; theme=dark,736,2,9db47b1a441474f9e697162171149938,GB,0.75,established,normal,none
672f0d6b,39.145.170.64,/api/pedidos,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""derekwatkins"", ""pass"": ""******""}",session_id=2888d48e-d0ce-4c08-ae1a-d46c99ae1b6f; theme=dark,741,14,d9de53fabfc730819a403e51a7050030,BR,0.88,established,normal,none
8d6b29a6,193.191.253.240,/api/pedidos,POST,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""meganbennett"", ""pass"": ""******""}",session_id=cf42256a-216d-4af1-b991-2bf507991e07; theme=dark,140,12,717165883b199e62923bb5d3396736ba,DE,0.84,established,normal,none
c162c836,208.197.101.93,/home,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,id=89&ref=promo,,session_id=0aa74295-eaeb-4caa-bd44-ecb6c9e34e1a; theme=dark,161,7,74075df0d596fe2d4e8e69e49598ea21,GB,0.84,new,normal,none
111a1f71,219.195.239.8,/admin,PUT,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,search=<script>alert(1)</script>,,session_id=01df2539-d710-4113-b14a-b490bc55402d;,753,17,3a66fe429da79bf8a427d1056ed249e1,FR,0.35,previously_flagged,suspeita,xss
c49d0d97,59.165.54.18,/download?file=/var/www/html/../../../etc/shadow,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=ebc9ea58-b1b1-446e-9e59-ed6dc19ab6e6;,456,2,c2469a24849449c620ea87ac168bd442,IN,0.0,new,suspeita,path_traversal
0db4437a,83.182.176.152,/login,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=bd3e2a65-dacf-46bf-8546-2a7d92825207; theme=dark,638,12,bbb547fa3488e9a29ca8ef216815b326,CN,0.98,established,normal,none
4df36c6d,180.122.236.88,/api/users,PUT,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""admin' #""}",session_id=af90b8dc-4290-49aa-bef5-32fb68795173;,265,11,065debec53fdafddb5a16e583dfbf072,US,0.41,previously_flagged,suspeita,sqli
d38230ca,183.63.161.179,/download?file=/var/www/html/../../../etc/shadow,POST,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=e53fc58d-125f-4c2a-941e-0d26007940a9;,385,4,1289d4ac70ce49e55109cc59567fbb09,FR,0.28,new,suspeita,path_traversal
98c05a13,27.11.183.94,/home,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=f8e28e04-2a20-4f37-8782-c78cb07659f1; theme=dark,747,10,f83bead5d3d85ae85e2561119fa9e8e4,RU,0.84,established,normal,none
d644ae83,91.102.136.64,/produtos,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""awoodard"", ""pass"": ""******""}",session_id=aa588e05-366c-4b52-a576-494de4a28c5e; theme=dark,779,5,8b0eb396f79b4570966ee374b85ad0a5,CN,0.83,established,normal,none
40100c59,94.8.175.186,/download?file=../../../etc/passwd,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=6c018c47-3385-4e1b-9d02-f12b4cf10513;,119,11,9693e49b42527f70bad00387f7351abd,DE,0.09,previously_flagged,suspeita,path_traversal
ffe1bb09,188.98.30.137,/home,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=1718510b-ca2e-4263-912f-e83134718783; theme=dark,681,7,65abcf7cad853c55075a986b70312102,IN,0.91,new,normal,none
cd47d4f1,161.103.220.199,/produtos,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=39052abb-91ce-4617-a808-7056edea8e6b; theme=dark,456,15,a85d1497ac19c01c2b6a568b78b86b97,US,0.77,new,normal,none
78a20f09,198.210.9.140,/api/users,GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,user=' OR 1=1 --,,session_id=3c3d31e4-ce74-47f0-a16d-073357a09f61;,302,25,3712eb99253ecf4bbc4f6f63fa22d1b7,US,0.17,previously_flagged,suspeita,sqli
4167e8ce,93.235.143.150,/login,PUT,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,search=<script>alert(1)</script>,,session_id=960a88fb-01bd-444e-a70f-f843d5d0d03e;,573,15,280b24aa2e39243fbcaa709a4522aa0a,FR,0.08,previously_flagged,suspeita,xss
beda39c0,11.99.192.185,/api/pedidos,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""njimenez"", ""pass"": ""******""}",session_id=29be825b-7e2c-4f2c-b4bc-0b30e203c6b2; theme=dark,495,10,1e5f413b359dae36dc8015c3e46a40ee,DE,0.79,established,normal,none
615a7382,120.41.215.198,/login,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=41&ref=promo,,session_id=b0f731f5-d7dd-4231-aeae-e121aa05f98f; theme=dark,138,10,bfe569de3f5e65749bf99d922fd457ec,IN,0.8,new,normal,none
0f104e22,61.229.113.234,/search,POST,curl/7.68.0,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=9239e683-e8dd-4eb1-9085-2e67f2f15fa9;,489,26,5572f358cad193145428006a2f408221,BR,0.33,new,suspeita,bot
95cbd771,21.12.87.74,/api/users,PUT,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""1; DROP TABLE users""}",session_id=b938e6b3-134d-4c5d-a64f-ed044aab23a1;,261,22,709e36feee6eb4095ef0b69c83c9bda6,CN,0.32,new,suspeita,sqli
66fc8d81,191.98.196.190,/login,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""gordonanne"", ""pass"": ""******""}",session_id=83030866-c764-4ba2-9794-3c16eb128786; theme=dark,730,6,764b4da767da325f62b8da22ce559023,FR,0.89,new,normal,none
3cd52617,144.64.174.122,/login,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""' OR 1=1 --""}",session_id=bd4406a1-fded-4752-8821-2ba7b39a1eac;,591,24,7b1d1e2dc591845a7ad51e6993440bb2,DE,0.02,new,suspeita,sqli
cb1eeffd,150.94.201.164,/admin,PUT,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=f352ac22-4a68-472f-b0bc-beb2549886ef;,332,4873,63033075b579c2f7a557ec7553ccdeb2,RU,0.25,previously_flagged,suspeita,dos
48aea12c,109.12.78.202,/produtos,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=247afb48-d77a-4a42-8d3c-074f0a6e12c1; theme=dark,797,5,4d77a6a6ace495e3e501afc4eaea6efb,GB,0.84,new,normal,none
875aad15,114.121.51.85,/produtos,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""grantamy"", ""pass"": ""******""}",session_id=02ef96c1-0392-4f4b-8a35-486e2ea06efd; theme=dark,526,5,b8a8a36888819efa65d3a10ac66976dc,US,1.0,established,normal,none
5f55a061,126.173.175.68,/search,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=36ca2d60-8dd1-45e7-ab06-77aab9c48afb;,276,1748,30f494f271ad2f4be71751c8b5eaab6a,RU,0.22,new,suspeita,dos
4ad72ad8,119.236.86.154,/login,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=cf6383b9-0b19-4e8b-aacb-aa6b7075074d; theme=dark,260,13,99b2f15dd1d2a910563251ce473db74c,US,0.88,established,normal,none
7efec28c,143.196.112.74,/contato,GET,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=2148ea37-587b-4e82-b0b6-2ca8de12f33a; theme=dark,422,3,a0f579d51de3e9f85238eebcf99e29c2,CN,0.8,new,normal,none
4faae387,181.254.9.132,/search,PUT,python-requests/2.25.1,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=2839f963-d37e-40de-9647-8eb183d10229;,601,68,e620c48f6ed4ce798afcebe710052b89,US,0.48,new,suspeita,bot
d5f6734b,173.41.32.19,/login,GET,Nmap Scripting Engine,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=700664ae-3030-48f6-be50-1c56d56ed68d;,499,51,4899e6c04eed2f3dd0d5f620c7795e5d,BR,0.42,new,suspeita,bot
0a434efb,86.68.149.138,/home,POST,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""lopezjennifer"", ""pass"": ""******""}",session_id=b9cb80c7-64d8-40db-bb41-e4a9de27a43e; theme=dark,528,10,bd513cb42e38d40d421367f30d3daef0,IN,0.76,established,normal,none
44b203fc,147.242.134.57,/contato,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=472b40d9-0723-4ba2-b301-358b1c1cd09f; theme=dark,295,13,26f993ea5fb28b082f2ebbc10a25a093,BR,0.75,established,normal,none
0136c78a,202.119.108.125,/login,GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,id=11&ref=promo,,session_id=1ed5e21c-770b-4e14-9313-f57c59449d3d; theme=dark,743,6,4bd63be0ed47e40b44f6b4be45c5875d,GB,0.81,established,normal,none
